Dataset | March Current Population Survey | Cross-sectional representative sample of more than 50,000 U.S. civilian households containing detailed questions about household composition and sources of income. | [('Cross-sectional', 'JJ'), ('representative', 'JJ'), ('sample', 'NN'), ('of', 'IN'), ('more', 'JJR'), ('than', 'IN'), ('50,000', 'CD'), ('U.S.', 'NNP'), ('civilian', 'JJ'), ('households', 'NNS'), ('containing', 'VBG'), ('detailed', 'JJ'), ('questions', 'NNS'), ('about', 'IN'), ('household', 'NN'), ('composition', 'NN'), ('and', 'CC'), ('sources', 'NNS'), ('of', 'IN'), ('income', 'NN'), ('.', '.')]
Dataset | National Longitudinal Survey of the High School Class of 1972 | …when using the panel analysis, researchers are able to control directly for the endowment effect as the NLS72 follows individuals during their formative age, therefore allowing them to control directly for the respondent's level of education, income, and labor market experience. | [('…when', 'NN'), ('using', 'VBG'), ('the', 'DT'), ('panel', 'NN'), ('analysis', 'NN'), (',', ','), ('researchers', 'NNS'), ('are', 'VBP'), ('able', 'JJ'), ('to', 'TO'), ('control', 'VB'), ('directly', 'RB'), ('for', 'IN'), ('the', 'DT'), ('endowment', 'JJ'), ('effect', 'NN'), ('as', 'IN'), ('the', 'DT'), ('NLS72', 'NNP'), ('follows', 'VBZ'), ('individuals', 'NNS'), ('during', 'IN'), ('their', 'PRP$'), ('formative', 'JJ'), ('age', 'NN'), (',', ','), ('therefore', 'RB'), ('allowing', 'VBG'), ('them', 'PRP'), ('to', 'TO'), ('control', 'VB'), ('directly', 'RB'), ('for', 'IN'), ('the', 'DT'), ('respondent', 'NN'), ("'s", 'POS'), ('level', 'NN'), ('of', 'IN'), ('education', 'NN'), (',', ','), ('income', 'NN'), (',', ','), ('and', 'CC'), ('labor', 'NN'), ('market', 'NN'), ('experience', 'NN'), ('.', '.')]
Dataset | General Social Survey | …given the nature of the dataset, it is difficult to compare the importance of the impressionable years versus other periods of live. The GSS provides information only on the region where an individual lived at 16 - the further removed the time period from that age, the higher the measurement error. | [('…given', 'RB'), ('the', 'DT'), ('nature', 'NN'), ('of', 'IN'), ('the', 'DT'), ('dataset', 'NN'), (',', ','), ('it', 'PRP'), ('is', 'VBZ'), ('difficult', 'JJ'), ('to', 'TO'), ('compare', 'VB'), ('the', 'DT'), ('importance', 'NN'), ('of', 'IN'), ('the', 'DT'), ('impressionable', 'JJ'), ('years', 'NNS'), ('versus', 'IN'), ('other', 'JJ'), ('periods', 'NNS'), ('of', 'IN'), ('live', 'JJ'), ('.', '.'), ('The', 'DT'), ('GSS', 'NNP'), ('provides', 'VBZ'), ('information', 'NN'), ('only', 'RB'), ('on', 'IN'), ('the', 'DT'), ('region', 'NN'), ('where', 'WRB'), ('an', 'DT'), ('individual', 'JJ'), ('lived', 'VBD'), ('at', 'IN'), ('16', 'CD'), ('-', ':'), ('the', 'DT'), ('further', 'JJ'), ('removed', 'VBD'), ('the', 'DT'), ('time', 'NN'), ('period', 'NN'), ('from', 'IN'), ('that', 'DT'), ('age', 'NN'), (',', ','), ('the', 'DT'), ('higher', 'JJR'), ('the', 'DT'), ('measurement', 'JJ'), ('error', 'NN'), ('.', '.')]
Dataset | World Value Survey | …cross-country analysis relies on data from the World Value Survey (WVS), a compilation of national, individual-level surveys on a wide variety of topics, including preferences for redistribution and political behavior.  | [('…cross-country', 'NN'), ('analysis', 'NN'), ('relies', 'NNS'), ('on', 'IN'), ('data', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('World', 'NNP'), ('Value', 'NNP'), ('Survey', 'NNP'), ('(', '('), ('WVS', 'NNP'), (')', ')'), (',', ','), ('a', 'DT'), ('compilation', 'NN'), ('of', 'IN'), ('national', 'JJ'), (',', ','), ('individual-level', 'JJ'), ('surveys', 'NNS'), ('on', 'IN'), ('a', 'DT'), ('wide', 'JJ'), ('variety', 'NN'), ('of', 'IN'), ('topics', 'NNS'), (',', ','), ('including', 'VBG'), ('preferences', 'NNS'), ('for', 'IN'), ('redistribution', 'NN'), ('and', 'CC'), ('political', 'JJ'), ('behavior', 'NN'), ('.', '.')]
Dataset | World Value Survey | …this survey contains information on standard demographic characteristics, such as gender, age, education, labor, market status, and income. | [('…this', 'JJ'), ('survey', 'NN'), ('contains', 'VBZ'), ('information', 'NN'), ('on', 'IN'), ('standard', 'JJ'), ('demographic', 'JJ'), ('characteristics', 'NNS'), (',', ','), ('such', 'JJ'), ('as', 'IN'), ('gender', 'NN'), (',', ','), ('age', 'NN'), (',', ','), ('education', 'NN'), (',', ','), ('labor', 'NN'), (',', ','), ('market', 'NN'), ('status', 'NN'), (',', ','), ('and', 'CC'), ('income', 'NN'), ('.', '.')]
Dataset | World Value Survey | …the WVS has been carried out five times (1981 to 1984, 1990 to 1993, 1995 to 1997, 1999 to 2004, and 2005 to 2007). The coverage varies depending on the wave, from 22 countries in 1980 to 81 countries in the fourth wave. The fifth wave was carred out in 57 countries. | [('…the', 'NN'), ('WVS', 'NNP'), ('has', 'VBZ'), ('been', 'VBN'), ('carried', 'VBN'), ('out', 'RP'), ('five', 'CD'), ('times', 'NNS'), ('(', '('), ('1981', 'CD'), ('to', 'TO'), ('1984', 'CD'), (',', ','), ('1990', 'CD'), ('to', 'TO'), ('1993', 'CD'), (',', ','), ('1995', 'CD'), ('to', 'TO'), ('1997', 'CD'), (',', ','), ('1999', 'CD'), ('to', 'TO'), ('2004', 'CD'), (',', ','), ('and', 'CC'), ('2005', 'CD'), ('to', 'TO'), ('2007', 'CD'), (')', ')'), ('.', '.'), ('The', 'DT'), ('coverage', 'NN'), ('varies', 'VBZ'), ('depending', 'VBG'), ('on', 'IN'), ('the', 'DT'), ('wave', 'NN'), (',', ','), ('from', 'IN'), ('22', 'CD'), ('countries', 'NNS'), ('in', 'IN'), ('1980', 'CD'), ('to', 'TO'), ('81', 'CD'), ('countries', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('fourth', 'JJ'), ('wave', 'NN'), ('.', '.'), ('The', 'DT'), ('fifth', 'JJ'), ('wave', 'NN'), ('was', 'VBD'), ('carred', 'VBN'), ('out', 'RP'), ('in', 'IN'), ('57', 'CD'), ('countries', 'NNS'), ('.', '.')]
Dataset | World Value Survey | …the WVS contains a richer set of questions on preferences for redistribution or preferences for government intervention in the economy in general. In particular, researchers run regressions on six different questions regarding government responsibility, income inequality, private-state ownership, society: egalitarian-competitive,  society: welfare-low taxes, and work-luck. | [('…the', 'JJ'), ('WVS', 'NNP'), ('contains', 'VBZ'), ('a', 'DT'), ('richer', 'JJR'), ('set', 'NN'), ('of', 'IN'), ('questions', 'NNS'), ('on', 'IN'), ('preferences', 'NNS'), ('for', 'IN'), ('redistribution', 'NN'), ('or', 'CC'), ('preferences', 'NNS'), ('for', 'IN'), ('government', 'NN'), ('intervention', 'NN'), ('in', 'IN'), ('the', 'DT'), ('economy', 'NN'), ('in', 'IN'), ('general', 'JJ'), ('.', '.'), ('In', 'IN'), ('particular', 'JJ'), (',', ','), ('researchers', 'NNS'), ('run', 'VBP'), ('regressions', 'NNS'), ('on', 'IN'), ('six', 'CD'), ('different', 'JJ'), ('questions', 'NNS'), ('regarding', 'VBG'), ('government', 'NN'), ('responsibility', 'NN'), (',', ','), ('income', 'NN'), ('inequality', 'NN'), (',', ','), ('private-state', 'JJ'), ('ownership', 'NN'), (',', ','), ('society', 'NN'), (':', ':'), ('egalitarian-competitive', 'JJ'), (',', ','), ('society', 'NN'), (':', ':'), ('welfare-low', 'JJ'), ('taxes', 'NNS'), (',', ','), ('and', 'CC'), ('work-luck', 'NN'), ('.', '.')]
Dataset | World Value Survey | …the WVS also has two questions on political ideology and party affiliation. | [('…the', 'NN'), ('WVS', 'NNP'), ('also', 'RB'), ('has', 'VBZ'), ('two', 'CD'), ('questions', 'NNS'), ('on', 'IN'), ('political', 'JJ'), ('ideology', 'NN'), ('and', 'CC'), ('party', 'NN'), ('affiliation', 'NN'), ('.', '.')]
Dataset | Huber et al. (1995) | …country-specific political parties are coded on a scale from 1 to 10 (with 10 indicating a more left-wing ideology) using data from Huber et al. (1995). | [('…country-specific', 'JJ'), ('political', 'JJ'), ('parties', 'NNS'), ('are', 'VBP'), ('coded', 'VBN'), ('on', 'IN'), ('a', 'DT'), ('scale', 'NN'), ('from', 'IN'), ('1', 'CD'), ('to', 'TO'), ('10', 'CD'), ('(', '('), ('with', 'IN'), ('10', 'CD'), ('indicating', 'VBG'), ('a', 'DT'), ('more', 'RBR'), ('left-wing', 'JJ'), ('ideology', 'NN'), (')', ')'), ('using', 'VBG'), ('data', 'NNS'), ('from', 'IN'), ('Huber', 'NNP'), ('et', 'CC'), ('al', 'NN'), ('.', '.'), ('(', '('), ('1995', 'CD'), (')', ')'), ('.', '.')]
Dataset | Barro et al. (2008) | …in the case of the cross-country analysis, researchers rely on the definition of economic shocks by Barro et al. (2008), who construct a measure of crises for a large set of countires starting from and improving Angus Maddison's dataset. The dataset includes time-series data on GDP from 1870 to today for a sample of 39 countries and estimates periods of economic disasters. | [('…in', 'VB'), ('the', 'DT'), ('case', 'NN'), ('of', 'IN'), ('the', 'DT'), ('cross-country', 'NN'), ('analysis', 'NN'), (',', ','), ('researchers', 'NNS'), ('rely', 'VBP'), ('on', 'IN'), ('the', 'DT'), ('definition', 'NN'), ('of', 'IN'), ('economic', 'JJ'), ('shocks', 'NNS'), ('by', 'IN'), ('Barro', 'NNP'), ('et', 'CC'), ('al', 'NN'), ('.', '.'), ('(', '('), ('2008', 'CD'), (')', ')'), (',', ','), ('who', 'WP'), ('construct', 'VBP'), ('a', 'DT'), ('measure', 'NN'), ('of', 'IN'), ('crises', 'NNS'), ('for', 'IN'), ('a', 'DT'), ('large', 'JJ'), ('set', 'NN'), ('of', 'IN'), ('countires', 'NNS'), ('starting', 'VBG'), ('from', 'IN'), ('and', 'CC'), ('improving', 'VBG'), ('Angus', 'NNP'), ('Maddison', 'NNP'), ("'s", 'POS'), ('dataset', 'NN'), ('.', '.'), ('The', 'DT'), ('dataset', 'NN'), ('includes', 'VBZ'), ('time-series', 'NNS'), ('data', 'NNS'), ('on', 'IN'), ('GDP', 'NNP'), ('from', 'IN'), ('1870', 'CD'), ('to', 'TO'), ('today', 'NN'), ('for', 'IN'), ('a', 'DT'), ('sample', 'NN'), ('of', 'IN'), ('39', 'CD'), ('countries', 'NNS'), ('and', 'CC'), ('estimates', 'VBZ'), ('periods', 'NNS'), ('of', 'IN'), ('economic', 'JJ'), ('disasters', 'NNS'), ('.', '.')]
Dataset | World Value Survey | …the WVS does not contain questions on voting behavior in the most recent elections. | [('…the', 'JJ'), ('WVS', 'NNP'), ('does', 'VBZ'), ('not', 'RB'), ('contain', 'VB'), ('questions', 'NNS'), ('on', 'IN'), ('voting', 'VBG'), ('behavior', 'NN'), ('in', 'IN'), ('the', 'DT'), ('most', 'RBS'), ('recent', 'JJ'), ('elections', 'NNS'), ('.', '.')]
Dataset | Barro et al. (2008) | …in this data, for the OECD countries, most of the macroeconomic disasters took place before 1950 (with the exception of Finland), whereas non-OECD countries experienced macroeconomic disasters before and after 1950. | [('…in', 'NN'), ('this', 'DT'), ('data', 'NN'), (',', ','), ('for', 'IN'), ('the', 'DT'), ('OECD', 'NNP'), ('countries', 'NNS'), (',', ','), ('most', 'JJS'), ('of', 'IN'), ('the', 'DT'), ('macroeconomic', 'JJ'), ('disasters', 'NNS'), ('took', 'VBD'), ('place', 'NN'), ('before', 'IN'), ('1950', 'CD'), ('(', '('), ('with', 'IN'), ('the', 'DT'), ('exception', 'NN'), ('of', 'IN'), ('Finland', 'NNP'), (')', ')'), (',', ','), ('whereas', 'JJ'), ('non-OECD', 'JJ'), ('countries', 'NNS'), ('experienced', 'VBD'), ('macroeconomic', 'JJ'), ('disasters', 'NNS'), ('before', 'IN'), ('and', 'CC'), ('after', 'IN'), ('1950', 'CD'), ('.', '.')]
Dataset | World Value Survey | …education is defined using a variable in the WVS that makes comparable the level of education across countries. | [('…education', 'NN'), ('is', 'VBZ'), ('defined', 'VBN'), ('using', 'VBG'), ('a', 'DT'), ('variable', 'JJ'), ('in', 'IN'), ('the', 'DT'), ('WVS', 'NNP'), ('that', 'WDT'), ('makes', 'VBZ'), ('comparable', 'JJ'), ('the', 'DT'), ('level', 'NN'), ('of', 'IN'), ('education', 'NN'), ('across', 'IN'), ('countries', 'NNS'), ('.', '.')]
Dataset | World Value Survey | …unfortunately, the WVS does not contain any information on family background (such as family income when young or parental level of education) or race. Therefore, none of these controls are able to be included in the analysis | [('…unfortunately', 'RB'), (',', ','), ('the', 'DT'), ('WVS', 'NNP'), ('does', 'VBZ'), ('not', 'RB'), ('contain', 'VB'), ('any', 'DT'), ('information', 'NN'), ('on', 'IN'), ('family', 'NN'), ('background', 'NN'), ('(', '('), ('such', 'JJ'), ('as', 'IN'), ('family', 'NN'), ('income', 'NN'), ('when', 'WRB'), ('young', 'JJ'), ('or', 'CC'), ('parental', 'JJ'), ('level', 'NN'), ('of', 'IN'), ('education', 'NN'), (')', ')'), ('or', 'CC'), ('race', 'NN'), ('.', '.'), ('Therefore', 'RB'), (',', ','), ('none', 'NN'), ('of', 'IN'), ('these', 'DT'), ('controls', 'NNS'), ('are', 'VBP'), ('able', 'JJ'), ('to', 'TO'), ('be', 'VB'), ('included', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('analysis', 'NN')]
Dataset | World Value Survey | …Malaysia and Sri-Lanka are not present in the WVS. | [('…Malaysia', 'NN'), ('and', 'CC'), ('Sri-Lanka', 'NNP'), ('are', 'VBP'), ('not', 'RB'), ('present', 'JJ'), ('in', 'IN'), ('the', 'DT'), ('WVS', 'NNP'), ('.', '.')]
Dataset | Barro et al. (2008) | …Malaysia and Sri-Lanka are covered by Barro et al. (2008). | [('…Malaysia', 'NN'), ('and', 'CC'), ('Sri-Lanka', 'NNP'), ('are', 'VBP'), ('covered', 'VBN'), ('by', 'IN'), ('Barro', 'NNP'), ('et', 'CC'), ('al', 'NN'), ('.', '.'), ('(', '('), ('2008', 'CD'), (')', ')'), ('.', '.')]
Dataset | World Value Survey | …the richer set of questions in the WVS allows an analysis of various beliefs. | [('…the', 'NN'), ('richer', 'NN'), ('set', 'NN'), ('of', 'IN'), ('questions', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('WVS', 'NNP'), ('allows', 'VBZ'), ('an', 'DT'), ('analysis', 'NN'), ('of', 'IN'), ('various', 'JJ'), ('beliefs', 'NNS'), ('.', '.')]
Dataset | World Value Survey | …variables on educational policies, wage inequality, and crime are not available on a yearly basis for the countries and period of analysis | [('…variables', 'NNS'), ('on', 'IN'), ('educational', 'JJ'), ('policies', 'NNS'), (',', ','), ('wage', 'NN'), ('inequality', 'NN'), (',', ','), ('and', 'CC'), ('crime', 'NN'), ('are', 'VBP'), ('not', 'RB'), ('available', 'JJ'), ('on', 'IN'), ('a', 'DT'), ('yearly', 'JJ'), ('basis', 'NN'), ('for', 'IN'), ('the', 'DT'), ('countries', 'NNS'), ('and', 'CC'), ('period', 'NN'), ('of', 'IN'), ('analysis', 'NN')]
Dataset | National Longitudinal Survey of the High School Class of 1972 | …the third dataset is the National Longitudinal Survey of the High School Class of 1972 (NLS72). This dataset provides a nationally representative sample of the high school population for the class fo 1972. Since the sample contains only one birth cohort, with most students being born in 1954 or 1955, there is no need to correct for potential cohort or life-cycle effects. | [('…the', 'JJ'), ('third', 'JJ'), ('dataset', 'NN'), ('is', 'VBZ'), ('the', 'DT'), ('National', 'NNP'), ('Longitudinal', 'NNP'), ('Survey', 'NNP'), ('of', 'IN'), ('the', 'DT'), ('High', 'NNP'), ('School', 'NNP'), ('Class', 'NNP'), ('of', 'IN'), ('1972', 'CD'), ('(', '('), ('NLS72', 'NNP'), (')', ')'), ('.', '.'), ('This', 'DT'), ('dataset', 'NN'), ('provides', 'VBZ'), ('a', 'DT'), ('nationally', 'RB'), ('representative', 'JJ'), ('sample', 'NN'), ('of', 'IN'), ('the', 'DT'), ('high', 'JJ'), ('school', 'NN'), ('population', 'NN'), ('for', 'IN'), ('the', 'DT'), ('class', 'NN'), ('fo', 'NN'), ('1972', 'CD'), ('.', '.'), ('Since', 'IN'), ('the', 'DT'), ('sample', 'NN'), ('contains', 'VBZ'), ('only', 'RB'), ('one', 'CD'), ('birth', 'NN'), ('cohort', 'NN'), (',', ','), ('with', 'IN'), ('most', 'JJS'), ('students', 'NNS'), ('being', 'VBG'), ('born', 'VBN'), ('in', 'IN'), ('1954', 'CD'), ('or', 'CC'), ('1955', 'CD'), (',', ','), ('there', 'EX'), ('is', 'VBZ'), ('no', 'DT'), ('need', 'NN'), ('to', 'TO'), ('correct', 'VB'), ('for', 'IN'), ('potential', 'JJ'), ('cohort', 'NN'), ('or', 'CC'), ('life-cycle', 'JJ'), ('effects', 'NNS'), ('.', '.')]
Dataset | National Longitudinal Survey of the High School Class of 1972 | …the survey provides a broad spectrum of information on socioeconomic status, home background, educational attaiment, work status, religion, marriage, and the family. For the purposes of the current research, the survey also contains data on the belief about the relative importance of work versus luck as a driver of success at the time of original interview and in subsequent years. | [('…the', 'JJ'), ('survey', 'NN'), ('provides', 'VBZ'), ('a', 'DT'), ('broad', 'JJ'), ('spectrum', 'NN'), ('of', 'IN'), ('information', 'NN'), ('on', 'IN'), ('socioeconomic', 'JJ'), ('status', 'NN'), (',', ','), ('home', 'NN'), ('background', 'NN'), (',', ','), ('educational', 'JJ'), ('attaiment', 'NN'), (',', ','), ('work', 'NN'), ('status', 'NN'), (',', ','), ('religion', 'NN'), (',', ','), ('marriage', 'NN'), (',', ','), ('and', 'CC'), ('the', 'DT'), ('family', 'NN'), ('.', '.'), ('For', 'IN'), ('the', 'DT'), ('purposes', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('current', 'JJ'), ('research', 'NN'), (',', ','), ('the', 'DT'), ('survey', 'NN'), ('also', 'RB'), ('contains', 'VBZ'), ('data', 'NNS'), ('on', 'IN'), ('the', 'DT'), ('belief', 'NN'), ('about', 'IN'), ('the', 'DT'), ('relative', 'JJ'), ('importance', 'NN'), ('of', 'IN'), ('work', 'NN'), ('versus', 'NN'), ('luck', 'VBD'), ('as', 'IN'), ('a', 'DT'), ('driver', 'NN'), ('of', 'IN'), ('success', 'NN'), ('at', 'IN'), ('the', 'DT'), ('time', 'NN'), ('of', 'IN'), ('original', 'JJ'), ('interview', 'NN'), ('and', 'CC'), ('in', 'IN'), ('subsequent', 'JJ'), ('years', 'NNS'), ('.', '.')]
Dataset | National Longitudinal Survey of the High School Class of 1972 | …data was collected during six years: 1972, 1973, 1974, 1976, 1979, and 1986. Data collected in the base year (1972) contains information on students' personal and family background. Follow-ups, conducted in 1973, 1974, 1976, 1979, and 1986, offer information on work, family, educational experience, and opinions since high school. The panel dimension of the survey is exploited from 1973 to 1986 and merged with sutdent's personal and family background obtained from the base year. | [('…data', 'NN'), ('was', 'VBD'), ('collected', 'VBN'), ('during', 'IN'), ('six', 'CD'), ('years', 'NNS'), (':', ':'), ('1972', 'CD'), (',', ','), ('1973', 'CD'), (',', ','), ('1974', 'CD'), (',', ','), ('1976', 'CD'), (',', ','), ('1979', 'CD'), (',', ','), ('and', 'CC'), ('1986', 'CD'), ('.', '.'), ('Data', 'NNP'), ('collected', 'VBD'), ('in', 'IN'), ('the', 'DT'), ('base', 'NN'), ('year', 'NN'), ('(', '('), ('1972', 'CD'), (')', ')'), ('contains', 'VBZ'), ('information', 'NN'), ('on', 'IN'), ('students', 'NNS'), ("'", 'POS'), ('personal', 'JJ'), ('and', 'CC'), ('family', 'NN'), ('background', 'NN'), ('.', '.'), ('Follow-ups', 'NNP'), (',', ','), ('conducted', 'VBN'), ('in', 'IN'), ('1973', 'CD'), (',', ','), ('1974', 'CD'), (',', ','), ('1976', 'CD'), (',', ','), ('1979', 'CD'), (',', ','), ('and', 'CC'), ('1986', 'CD'), (',', ','), ('offer', 'VBP'), ('information', 'NN'), ('on', 'IN'), ('work', 'NN'), (',', ','), ('family', 'NN'), (',', ','), ('educational', 'JJ'), ('experience', 'NN'), (',', ','), ('and', 'CC'), ('opinions', 'NNS'), ('since', 'IN'), ('high', 'JJ'), ('school', 'NN'), ('.', '.'), ('The', 'DT'), ('panel', 'NN'), ('dimension', 'NN'), ('of', 'IN'), ('the', 'DT'), ('survey', 'NN'), ('is', 'VBZ'), ('exploited', 'VBN'), ('from', 'IN'), ('1973', 'CD'), ('to', 'TO'), ('1986', 'CD'), ('and', 'CC'), ('merged', 'VBD'), ('with', 'IN'), ('sutdent', 'NN'), ("'s", 'POS'), ('personal', 'JJ'), ('and', 'CC'), ('family', 'NN'), ('background', 'NN'), ('obtained', 'VBN'), ('from', 'IN'), ('the', 'DT'), ('base', 'JJ'), ('year', 'NN'), ('.', '.')]
Dataset | National Longitudinal Survey of the High School Class of 1972 | …despite the limitation of not having the cohort variation, this dataset has the advanatge of following respondents over time, including information on locations at the state level. The restricted geocode version of the survey is used to know an individual's location in each survey year. This allows the association to each individual the unemployment rate of his or her state of residence at each point in time. | [('…despite', 'VB'), ('the', 'DT'), ('limitation', 'NN'), ('of', 'IN'), ('not', 'RB'), ('having', 'VBG'), ('the', 'DT'), ('cohort', 'NN'), ('variation', 'NN'), (',', ','), ('this', 'DT'), ('dataset', 'NN'), ('has', 'VBZ'), ('the', 'DT'), ('advanatge', 'NN'), ('of', 'IN'), ('following', 'VBG'), ('respondents', 'NNS'), ('over', 'IN'), ('time', 'NN'), (',', ','), ('including', 'VBG'), ('information', 'NN'), ('on', 'IN'), ('locations', 'NNS'), ('at', 'IN'), ('the', 'DT'), ('state', 'NN'), ('level', 'NN'), ('.', '.'), ('The', 'DT'), ('restricted', 'JJ'), ('geocode', 'NN'), ('version', 'NN'), ('of', 'IN'), ('the', 'DT'), ('survey', 'NN'), ('is', 'VBZ'), ('used', 'VBN'), ('to', 'TO'), ('know', 'VB'), ('an', 'DT'), ('individual', 'NN'), ("'s", 'POS'), ('location', 'NN'), ('in', 'IN'), ('each', 'DT'), ('survey', 'NN'), ('year', 'NN'), ('.', '.'), ('This', 'DT'), ('allows', 'VBZ'), ('the', 'DT'), ('association', 'NN'), ('to', 'TO'), ('each', 'DT'), ('individual', 'NN'), ('the', 'DT'), ('unemployment', 'NN'), ('rate', 'NN'), ('of', 'IN'), ('his', 'PRP$'), ('or', 'CC'), ('her', 'PRP$'), ('state', 'NN'), ('of', 'IN'), ('residence', 'NN'), ('at', 'IN'), ('each', 'DT'), ('point', 'NN'), ('in', 'IN'), ('time', 'NN'), ('.', '.')]
